"urls","Назва","Підписів","Успішна_лог","Дата","Завершена","Категорія"
"1","https://petition.kievcity.gov.ua/petition/?pid=7069","Не допустити перейменування вулиці Курської в Солом'янському районі м. Києва",45,FALSE,"2017-11-29",FALSE,"Перейменування вулиць"
"2","https://petition.kievcity.gov.ua/petition/?pid=7067","Побудувати шумозахистний паркан біля будинку №7 по вулиці Кондратюка в м. Києві або відсунути окружну дорогу на відстань не менше 100 метрів",278,FALSE,"2017-11-29",FALSE,"Житлово-комунальна інфраструктура та відходи"
"3","https://petition.kievcity.gov.ua/petition/?pid=7066","Прибрати турнікети-вбивці зі всіх станцій метро",34,FALSE,"2017-11-29",FALSE,"Транспорт"
"4","https://petition.kievcity.gov.ua/petition/?pid=7065","Відмова від найменувань вулиць іменами будь-яких персон",135,FALSE,"2017-11-29",FALSE,"Перейменування вулиць"
"5","https://petition.kievcity.gov.ua/petition/?pid=7064","Обов'язково обладнати всі маршрутні таксі кнопками вимоги зупинки",25,FALSE,"2017-11-29",FALSE,"Транспорт"
"6","https://petition.kievcity.gov.ua/petition/?pid=7062","Включить воду (хоть какую-то одну, или холодную или горячую) в доме по ул. Тимошенко 2Г",9,FALSE,"2017-11-29",FALSE,"Житлово-комунальна інфраструктура та відходи"
"7","https://petition.kievcity.gov.ua/petition/?pid=7061","Для запобігання нещасних випадків та загибель людей зробити незалежну перевірку ліфтів, термін єксплуатації яких більше 20 років, особливо в будинках, які на балансі в ЖЕД.",29,FALSE,"2017-11-29",FALSE,"Житлово-комунальна інфраструктура та відходи"
"8","https://petition.kievcity.gov.ua/petition/?pid=6999","Що до захисту суспільно-політичних інтересів киян",15,FALSE,"2017-11-27",FALSE,"Інше"
"9","https://petition.kievcity.gov.ua/petition/?pid=7058","На законодательном уровне обязать все салоны красоты, парикмахерские, а так же стоматологии всех форм собственности в обязательном порядке и надлежащим образом стерилизовать приборы после каждого кл",57,FALSE,"2017-11-27",FALSE,"Інше"
"10","https://petition.kievcity.gov.ua/petition/?pid=7059","Автостанцію ""Південну"" перебудувати на сучасний автовокзал. Автостанцію ""Теремки"" закрити",27,FALSE,"2017-11-27",FALSE,"Транспорт"
"11","https://petition.kievcity.gov.ua/petition/?pid=7057","Зменшити кількість реклами у вагонах метро.",42,FALSE,"2017-11-27",FALSE,"Транспорт"
"12","https://petition.kievcity.gov.ua/petition/?pid=6980","Створення груп для денного перебування дорослих людей з інвалідністю(аутизмом, ДЦП та інші)",19,FALSE,"2017-11-27",FALSE,"Соціальна сфера (освіта, охорона здоров’я, соц. захист та ін.)"
"13","https://petition.kievcity.gov.ua/petition/?pid=7049","“Київській міській раді невідкладно розглянути на сесії та звернутися до президента України з вимогою звільнити голову Святошинської РДА м. Києва В. О. Каретка.",145,FALSE,"2017-11-23",FALSE,"Інше"
"14","https://petition.kievcity.gov.ua/petition/?pid=7046","Зупинка міської електрички по ст. Протасів Яр",52,FALSE,"2017-11-23",FALSE,"Транспорт"
"15","https://petition.kievcity.gov.ua/petition/?pid=7045","Зробити зупинку міської електрички на ст. Протасів Яр",16,FALSE,"2017-11-23",FALSE,"Транспорт"
"16","https://petition.kievcity.gov.ua/petition/?pid=7044","Встановлювати на зимові свята в Києві символічний Дідух замість ялинки (сосни)",23,FALSE,"2017-11-23",FALSE,"Інше"
"17","https://petition.kievcity.gov.ua/petition/?pid=7043","Відновити асфальтне покриття на дорозі за будинком №9 на вул Стеценка.",49,FALSE,"2017-11-23",FALSE,"Транспорт"
"18","https://petition.kievcity.gov.ua/petition/?pid=7042","зобов'язати мера міста Києва В.Кличко і всіх його заступників щодня пересуватися по місту в міському транспорті.",53,FALSE,"2017-11-23",FALSE,"Інше"
"19","https://petition.kievcity.gov.ua/petition/?pid=7041","Вулицю Мельникова перейменувати на КОТЛЯРЕВСЬКОГО або КОСТОМАРОВА! (до чого тут Ю.Іллєнко?!)",18,FALSE,"2017-11-23",FALSE,"Перейменування вулиць"
"20","https://petition.kievcity.gov.ua/petition/?pid=7035","Встановлення дитячого майданчику поруч з парком ""Орлятко"" в Солом'янському районі м.Києва",67,FALSE,"2017-11-23",FALSE,"Соціальна сфера (освіта, охорона здоров’я, соц. захист та ін.)"
"21","https://petition.kievcity.gov.ua/petition/?pid=7033","Забезпечити рух міської електрички за зручним розкладом з ранку і до вечора",98,FALSE,"2017-11-23",FALSE,"Транспорт"
"22","https://petition.kievcity.gov.ua/petition/?pid=7032","Посилення контролю за маршрутними перевізниками",44,FALSE,"2017-11-23",FALSE,"Транспорт"
"23","https://petition.kievcity.gov.ua/petition/?pid=7031","Встановити світлофор на виїзді з вулиці Попудренка (біля метро Чернігівська) на вулицю Гната Хоткевича.",13,FALSE,"2017-11-23",FALSE,"Дорожнє господарство та паркування"
"24","https://petition.kievcity.gov.ua/petition/?pid=7030","Зробити розвязку автомобільного транспорту біля станції метро Нівки, (не залежно від ремонтних робіт), на стан до ремонтних робіт.",26,FALSE,"2017-11-23",FALSE,"Транспорт"
"25","https://petition.kievcity.gov.ua/petition/?pid=7028","Відновити автобусний маршрут №80 ""Севастопольська площа - Кібцентр""",14,FALSE,"2017-11-23",FALSE,"Транспорт"
"26","https://petition.kievcity.gov.ua/petition/?pid=7025","Потрібно заборонити діяльність салонів з гральними автоматами.",121,FALSE,"2017-11-21",FALSE,"Інше"
"27","https://petition.kievcity.gov.ua/petition/?pid=7024","Знести пам`ятник князю Володимиру-хрестителю на Володимирській гірці",48,FALSE,"2017-11-21",FALSE,"Соціальна сфера (освіта, охорона здоров’я, соц. захист та ін.)"
"28","https://petition.kievcity.gov.ua/petition/?pid=7023","Побудувати Лівобережну лінію метрополітену",194,FALSE,"2017-11-20",FALSE,"Транспорт"
"29","https://petition.kievcity.gov.ua/petition/?pid=7021","Встановити тіньові навіси в ДНЗ Оболонського району.",69,FALSE,"2017-11-20",FALSE,"Соціальна сфера (освіта, охорона здоров’я, соц. захист та ін.)"
"30","https://petition.kievcity.gov.ua/petition/?pid=7020","Покладіть лежачих поліцейських, або встановіть світлофор, на вулиці Архітектора Вербицького на переході від Собору Святої Ольги до зупинки маршрутів "" 599"",""220"" та ""108""",19,FALSE,"2017-11-20",FALSE,"Дорожнє господарство та паркування"
"31","https://petition.kievcity.gov.ua/petition/?pid=7018","Заборонити обладнання інкасаторських автомобілів синіми проблисковими маячкамм та сиреною",38,FALSE,"2017-11-20",FALSE,"Транспорт"
"32","https://petition.kievcity.gov.ua/petition/?pid=7015","ПРОЕКТ ОБЛАШТУВАННЯ МУНIЦИПАЛЬНИХ ДУШОВИХ,З ВИДАЧЕЙ ГУМАНIТАРНОГО,ЧИСТОГО ВБРАННЯ ДЛЯ БЕЗХАТЧЕНКIВ У МIСТI КИЄВI.",64,FALSE,"2017-11-20",FALSE,"Соціальна сфера (освіта, охорона здоров’я, соц. захист та ін.)"
"33","https://petition.kievcity.gov.ua/petition/?pid=7013","Заборонити спалювання та отоплення будь-яких приміщень вогнем, який виділяє дим та забруднює навколишнє повітря і погіршує здоров'я людей, що проживають в межах накопичення диму.",29,FALSE,"2017-11-17",FALSE,"Житлово-комунальна інфраструктура та відходи"
"34","https://petition.kievcity.gov.ua/petition/?pid=7012","Зробити пенсіонерам платний проїзд у громадському транспорті в час-пік.",791,FALSE,"2017-11-17",FALSE,"Транспорт"
"35","https://petition.kievcity.gov.ua/petition/?pid=7011","Створити мережу сучасних муніципальних вбиралень у м. Києві",180,FALSE,"2017-11-17",FALSE,"Інше"
"36","https://petition.kievcity.gov.ua/petition/?pid=7010","Обязать компании, поставляющие ЖКУ, формировать и отправлять квитанции на оплату до 10 числа",115,FALSE,"2017-11-17",FALSE,"Житлово-комунальна інфраструктура та відходи"
